date,bvsp,bvsp_daily_returns,vol,class
2009-09,59195.12095238095,0.00411744882426358,0.012201984348576299,Low
2009-10,63989.896190476196,0.0002876758785049729,0.013443593447306027,Low
2009-11,65999.90157894736,0.004616992212837027,0.020731879907083715,High
2009-12,68102.64199999999,0.0011993879232074845,0.015387874925010403,Low
2010-01,68578.1747368421,-0.0024373433898954417,0.01255242013797393,Low
2010-02,65937.57888888888,0.0010646739984929833,0.015228578927820249,Low
2010-03,69070.37565217391,0.0024932960196837085,0.011765302270096114,Low
2010-04,69738.1205,-0.0019967247872739067,0.009874822012122218,Low
2010-05,62605.37190476191,-0.003045427884853836,0.016434514282855146,High
2010-06,63332.04095238096,-0.0015147156248164577,0.01688457032407449,High
2010-07,64143.45428571429,0.004943389681375981,0.014563388669458856,Low
2010-08,66576.75181818182,-0.0015542842911372826,0.011561724026762548,Low
2010-09,67793.01333333334,0.0030824195467266855,0.012202836065467095,Low
2010-10,70618.9235,0.0009363506241853115,0.010197081257425359,Low
2010-11,70380.07800000001,-0.0020651413898084836,0.01081615450797704,Low
2010-12,68547.0580952381,0.001161799987880738,0.011634622685274449,Low
2011-01,69779.63399999999,-0.001966196850276808,0.009809701147601664,Low
2011-02,66516.2325,0.0006800083538446245,0.011691480331054696,Low
2011-03,67214.34952380953,0.0008929624851765734,0.011039165803758242,Low
2011-04,67424.71578947369,-0.0018698815271929882,0.009685103751283942,Low
2011-05,63730.87863636364,-0.0010002590213656953,0.010173042750067,Low
2011-06,62299.39523809524,-0.0016177250476238768,0.009973618494742018,Low
2011-07,60431.885238095245,-0.0027473338593633372,0.010346971631199445,Low
2011-08,53841.433913043475,-0.001329336881242294,0.02259267914355385,High
2011-09,55399.32761904762,-0.0034566020750943665,0.022225911412369855,High
2011-10,54669.340500000006,0.005652052792375401,0.020255285154456473,High
2011-11,57093.621,-0.0011593926818339872,0.01815004943422125,High
2011-12,57408.3280952381,-2.0629402596913002e-06,0.016192035569630014,Low
2012-01,60698.10571428571,0.005081492293729488,0.013541202398114151,Low
2012-02,65483.61947368421,0.0023048508310843374,0.011503009356750707,Low
2012-03,66612.72363636363,-0.0008262443960448295,0.012405145797491869,Low
2012-04,62579.269499999995,-0.002062456600025675,0.012044882084423381,Low
2012-05,57136.051818181826,-0.005581879550644108,0.01367395588024617,Low
2012-06,54665.2005,2.1467866950647396e-05,0.01616586696383062,Low
2012-07,54617.102857142854,0.0016726370923215135,0.01696373914100336,High
2012-08,58209.2947826087,0.0008212633507670623,0.017031885615469856,High
2012-09,60057.237368421054,0.0020109504586281967,0.014179977664547,Low
2012-10,58591.20954545455,-0.0016087675542627426,0.011654161560647207,Low
2012-11,57223.067368421056,0.0004781993158000594,0.012677822368841725,Low
2012-12,59582.88444444444,0.003297965880724988,0.011576724998074788,Low
2013-01,61533.61666666666,-0.0008811288791663438,0.01056639537357078,Low
2013-02,57877.874444444446,-0.0021857428943943516,0.009459596740292462,Low
2013-03,56797.918999999994,-0.0008765057949964627,0.010627934949476229,Low
2013-04,54759.29454545455,-0.0002529596141657103,0.012268400068145198,Low
2013-05,55456.526190476194,-0.002043965571034436,0.011388544417746513,Low
2013-06,49604.626000000004,-0.005843760939289266,0.013995926240068263,Low
2013-07,47160.57,0.0008668722295050547,0.016546670281633074,High
2013-08,50062.237727272724,0.001749067713844623,0.015016775854520792,Low
2013-09,53635.24523809523,0.002272654841395975,0.014669503309461093,Low
2013-10,54171.87695652174,0.001627441135393974,0.012908609962412223,Low
2013-11,52815.579473684214,-0.0016747291450576126,0.012224195542828772,Low
2013-12,50791.79052631579,-0.0009328971480631697,0.011974176990476296,Low
2014-01,49139.74681818182,-0.0034846013723963576,0.011249776979722376,Low
2014-02,47367.89,-0.00047544406588734267,0.012770409082833606,Low
2014-03,47046.98263157895,0.003676477273696489,0.012496574070879235,Low
